NODE_69_length_16902_cov_2.242504_11	K27883
NODE_92_length_14827_cov_3.504898_5	K27838
NODE_24_length_23637_cov_2.816121_12	K27318
NODE_17_length_26507_cov_2.598218_23	K27259
NODE_741_length_2569_cov_2.169943_4	K27072
NODE_129_length_12362_cov_2.898324_12	K27042
NODE_615_length_3718_cov_2.280423_3	K26939
NODE_70_length_16666_cov_2.661890_4	K26937
NODE_151_length_11232_cov_2.908059_2	K26937
NODE_134_length_12242_cov_2.703673_8	K26735
NODE_240_length_8807_cov_2.377304_7	K26605
NODE_92_length_14827_cov_3.504898_4	K26580
NODE_374_length_6187_cov_2.592904_5	K26441
NODE_51_length_18705_cov_2.754818_7	K26400
NODE_18_length_26144_cov_2.567667_3	K26399
NODE_5_length_35278_cov_3.051293_1	K26139
NODE_951_length_1262_cov_1.441410_1	K26061
NODE_84_length_15524_cov_2.391830_9	K25877
NODE_5_length_35278_cov_3.051293_6	K25706
NODE_1101_length_486_cov_2.069638_1	K25626
NODE_671_length_3125_cov_2.158105_1	K25422
NODE_39_length_20032_cov_2.675057_8	K25169
NODE_81_length_15659_cov_2.729526_15	K25137
NODE_41_length_19562_cov_2.510522_2	K25135
NODE_257_length_8407_cov_2.945531_8	K25133
NODE_257_length_8407_cov_2.945531_7	K25132
NODE_10_length_32230_cov_2.381429_1	K25034
NODE_413_length_5675_cov_2.233417_2	K25027
NODE_30_length_21974_cov_2.639539_21	K24967
NODE_64_length_17442_cov_2.606584_3	K24942
NODE_543_length_4357_cov_2.273050_2	K24847
NODE_248_length_8565_cov_2.775658_3	K24700
NODE_574_length_4051_cov_3.079001_3	K24656
NODE_82_length_15581_cov_2.626246_2	K24268
NODE_192_length_10066_cov_2.393802_8	K24206
NODE_75_length_16242_cov_2.936395_2	K24163
NODE_47_length_19050_cov_3.084236_13	K24158
NODE_57_length_18362_cov_2.585358_5	K24119
NODE_61_length_17615_cov_2.849668_7	K24116
NODE_109_length_13460_cov_3.247206_5	K24116
NODE_75_length_16242_cov_2.936395_12	K24087
NODE_120_length_12772_cov_2.406959_8	K24087
NODE_172_length_10596_cov_2.660904_6	K24087
NODE_340_length_6790_cov_3.323878_3	K24087
NODE_335_length_6866_cov_2.976109_3	K24042
NODE_334_length_6866_cov_3.447099_1	K24012
NODE_138_length_12089_cov_3.093797_1	K23997
NODE_13_length_29884_cov_2.939107_29	K23993
NODE_666_length_3169_cov_1.958580_3	K23775
NODE_542_length_4358_cov_1.783266_2	K23753
NODE_594_length_3830_cov_2.654874_6	K23722
NODE_37_length_20438_cov_2.530205_14	K23541
NODE_29_length_22725_cov_2.768077_14	K23537
NODE_167_length_10749_cov_2.455281_2	K23537
NODE_295_length_7570_cov_2.022034_8	K23537
NODE_370_length_6274_cov_2.539613_2	K23537
NODE_29_length_22725_cov_2.768077_12	K23536
NODE_167_length_10749_cov_2.455281_4	K23536
NODE_295_length_7570_cov_2.022034_6	K23536
NODE_370_length_6274_cov_2.539613_4	K23536
NODE_29_length_22725_cov_2.768077_13	K23535
NODE_167_length_10749_cov_2.455281_3	K23535
NODE_295_length_7570_cov_2.022034_5	K23535
NODE_370_length_6274_cov_2.539613_3	K23535
NODE_224_length_9183_cov_2.451745_3	K23514
NODE_319_length_7113_cov_3.015603_6	K23514
NODE_713_length_2806_cov_2.342292_3	K23514
NODE_295_length_7570_cov_2.022034_7	K23359
NODE_140_length_11733_cov_2.397984_12	K23351
NODE_512_length_4705_cov_2.803626_4	K23256
NODE_82_length_15581_cov_2.626246_1	K23247
NODE_82_length_15581_cov_2.626246_3	K23245
NODE_30_length_21974_cov_2.639539_3	K23234
NODE_61_length_17615_cov_2.849668_5	K23107
NODE_17_length_26507_cov_2.598218_14	K23061
NODE_474_length_5053_cov_2.912708_8	K23007
NODE_768_length_2353_cov_3.650494_2	K22934
NODE_38_length_20059_cov_3.244582_13	K22895
NODE_468_length_5096_cov_1.796740_5	K22883
NODE_1024_length_859_cov_3.128415_2	K22736
NODE_34_length_21014_cov_2.651601_3	K22696
NODE_144_length_11499_cov_2.379177_9	K22617
NODE_779_length_2301_cov_1.945262_3	K22589
NODE_23_length_23710_cov_3.460374_3	K22522
NODE_577_length_4016_cov_2.763178_5	K22489
NODE_242_length_8759_cov_3.386237_7	K22486
NODE_439_length_5383_cov_2.655822_4	K22479
NODE_621_length_3661_cov_2.127051_3	K22479
NODE_142_length_11620_cov_2.745323_8	K22474
NODE_751_length_2473_cov_2.617647_3	K22468
NODE_530_length_4529_cov_1.921627_2	K22452
NODE_580_length_4002_cov_2.568000_3	K22444
NODE_153_length_11200_cov_2.925404_3	K22443
NODE_393_length_5935_cov_2.584883_6	K22441
NODE_10_length_32230_cov_2.381429_21	K22418
NODE_109_length_13460_cov_3.247206_4	K22303
NODE_68_length_16957_cov_2.814260_16	K22296
NODE_879_length_1694_cov_2.243140_2	K22296
NODE_147_length_11356_cov_3.375367_4	K22293
NODE_20_length_25156_cov_2.672580_1	K22292
NODE_49_length_18849_cov_2.756970_9	K22270
NODE_233_length_9017_cov_2.375928_4	K22209
NODE_422_length_5527_cov_2.362593_6	K22207
NODE_298_length_7527_cov_3.314189_6	K22187
NODE_658_length_3215_cov_3.227655_1	K22187
NODE_51_length_18705_cov_2.754818_6	K22186
NODE_244_length_8668_cov_2.617492_5	K22133
NODE_142_length_11620_cov_2.745323_11	K22132
NODE_37_length_20438_cov_2.530205_5	K22131
NODE_37_length_20438_cov_2.530205_6	K22130
NODE_804_length_2198_cov_2.084500_3	K22108
NODE_515_length_4677_cov_2.438901_4	K22106
NODE_105_length_13865_cov_2.530499_5	K22103
NODE_5_length_35278_cov_3.051293_5	K22067
NODE_33_length_21344_cov_2.606636_17	K22063
NODE_281_length_7824_cov_2.684033_7	K22027
NODE_37_length_20438_cov_2.530205_8	K22025
NODE_105_length_13865_cov_2.530499_7	K22024
NODE_348_length_6599_cov_2.546508_6	K21973
NODE_2_length_43666_cov_2.920944_13	K21960
NODE_37_length_20438_cov_2.530205_7	K21948
NODE_123_length_12603_cov_3.063241_4	K21948
NODE_91_length_14847_cov_2.863043_3	K21884
NODE_259_length_8391_cov_2.584826_6	K21883
NODE_2_length_43666_cov_2.920944_7	K21829
NODE_87_length_15415_cov_2.190018_5	K21802
NODE_274_length_7986_cov_2.559868_13	K21703
NODE_233_length_9017_cov_2.375928_5	K21645
NODE_511_length_4761_cov_2.681700_2	K21645
NODE_13_length_29884_cov_2.939107_8	K21613
NODE_156_length_11150_cov_2.863558_4	K21607
NODE_23_length_23710_cov_3.460374_16	K21602
NODE_73_length_16450_cov_2.733689_15	K21561
NODE_244_length_8668_cov_2.617492_1	K21498
NODE_84_length_15524_cov_2.391830_1	K21464
NODE_23_length_23710_cov_3.460374_17	K21420
NODE_15_length_29191_cov_2.704205_1	K21405
NODE_478_length_5043_cov_2.296989_3	K21405
NODE_525_length_4561_cov_2.707262_5	K21395
NODE_959_length_1228_cov_2.515895_2	K21394
NODE_927_length_1405_cov_4.635368_2	K21393
NODE_595_length_3827_cov_2.225405_5	K21119
NODE_61_length_17615_cov_2.849668_6	K21088
NODE_117_length_12918_cov_2.578532_2	K21088
NODE_456_length_5193_cov_1.997434_4	K21085
NODE_29_length_22725_cov_2.768077_9	K21053
NODE_428_length_5477_cov_2.997196_3	K21029
NODE_481_length_5011_cov_3.340295_2	K21023
NODE_875_length_1732_cov_2.258567_1	K21023
NODE_489_length_4974_cov_2.734475_4	K21021
NODE_117_length_12918_cov_2.578532_10	K21019
NODE_884_length_1677_cov_2.587097_1	K21001
NODE_6_length_35275_cov_2.706811_29	K20938
NODE_34_length_21014_cov_2.651601_11	K20938
NODE_186_length_10249_cov_2.858427_4	K20938
NODE_1_length_61034_cov_3.829790_10	K20862
NODE_628_length_3615_cov_2.392775_2	K20718
NODE_513_length_4693_cov_2.190758_1	K20660
NODE_98_length_14232_cov_2.616164_9	K20543
NODE_272_length_8049_cov_2.311159_4	K20542
NODE_272_length_8049_cov_2.311159_3	K20541
NODE_72_length_16453_cov_2.890359_8	K20534
NODE_32_length_21564_cov_3.262677_11	K20533
NODE_32_length_21564_cov_3.262677_18	K20530
NODE_255_length_8450_cov_3.195242_4	K20455
NODE_193_length_10058_cov_2.671332_7	K20449
NODE_58_length_18246_cov_2.833379_6	K20074
NODE_320_length_7112_cov_2.425626_5	K20036
NODE_298_length_7527_cov_3.314189_3	K20035
NODE_305_length_7365_cov_2.946809_5	K20035
NODE_289_length_7660_cov_2.733174_3	K20034
NODE_404_length_5812_cov_2.976605_2	K20034
NODE_20_length_25156_cov_2.672580_12	K19804
NODE_39_length_20032_cov_2.675057_21	K19784
NODE_274_length_7986_cov_2.559868_9	K19746
NODE_452_length_5222_cov_2.122473_2	K19745
NODE_108_length_13510_cov_2.671524_3	K19709
NODE_14_length_29222_cov_2.868947_4	K19611
NODE_43_length_19406_cov_2.822034_3	K19591
NODE_304_length_7392_cov_3.228768_7	K19550
NODE_41_length_19562_cov_2.510522_13	K19548
NODE_4_length_35647_cov_3.109122_27	K19429
NODE_238_length_8857_cov_2.492211_9	K19416
NODE_270_length_8088_cov_2.346816_7	K19416
NODE_389_length_5986_cov_2.271377_2	K19354
NODE_15_length_29191_cov_2.704205_3	K19339
NODE_171_length_10628_cov_2.714503_3	K19338
NODE_257_length_8407_cov_2.945531_1	K19338
NODE_1002_length_1004_cov_2.143672_1	K19337
NODE_582_length_3991_cov_1.876553_2	K19303
NODE_221_length_9226_cov_2.560281_2	K19302
NODE_106_length_13812_cov_2.916916_12	K19285
NODE_62_length_17593_cov_3.060002_10	K19267
NODE_732_length_2660_cov_2.242795_3	K19265
NODE_422_length_5527_cov_2.362593_7	K19245
NODE_16_length_28390_cov_3.223508_12	K19244
NODE_413_length_5675_cov_2.233417_4	K19221
NODE_972_length_1142_cov_2.324138_1	K19178
NODE_301_length_7490_cov_3.056906_8	K19126
