NODE_22_length_120613_cov_15.351228_65	K27882
NODE_47_length_36994_cov_14.926221_22	K27838
NODE_40_length_67826_cov_15.440066_69	K27837
NODE_5_length_270224_cov_14.756047_182	K27802
NODE_50_length_33531_cov_13.565471_1	K27612
NODE_10_length_177970_cov_16.619580_52	K27597
NODE_16_length_147595_cov_15.526419_20	K27108
NODE_6_length_241499_cov_14.686123_231	K27076
NODE_15_length_153375_cov_15.028157_122	K27076
NODE_12_length_169171_cov_14.675599_70	K26939
NODE_18_length_142879_cov_15.039453_16	K26735
NODE_4_length_279979_cov_15.072070_250	K26605
NODE_6_length_241499_cov_14.686123_230	K26400
NODE_12_length_169171_cov_14.675599_60	K26399
NODE_7_length_227087_cov_15.662125_179	K26141
NODE_18_length_142879_cov_15.039453_76	K26063
NODE_6_length_241499_cov_14.686123_227	K25901
NODE_5_length_270224_cov_14.756047_40	K25895
NODE_36_length_74020_cov_14.397778_49	K25706
NODE_7_length_227087_cov_15.662125_240	K25652
NODE_43_length_60437_cov_14.044056_44	K25623
NODE_43_length_60437_cov_14.044056_43	K25621
NODE_34_length_81483_cov_15.360059_19	K25525
NODE_11_length_174094_cov_16.181546_57	K25285
NODE_21_length_125267_cov_15.263681_44	K25211
NODE_13_length_162950_cov_15.688465_61	K25171
NODE_10_length_177970_cov_16.619580_62	K25170
NODE_10_length_177970_cov_16.619580_61	K25169
NODE_1_length_319143_cov_14.787312_32	K25153
NODE_1_length_319143_cov_14.787312_30	K25152
NODE_1_length_319143_cov_14.787312_31	K25151
NODE_11_length_174094_cov_16.181546_58	K25133
NODE_11_length_174094_cov_16.181546_59	K25132
NODE_12_length_169171_cov_14.675599_33	K24821
NODE_38_length_70687_cov_15.037500_57	K24819
NODE_3_length_306466_cov_15.086084_213	K24700
NODE_26_length_99679_cov_14.870952_78	K24698
NODE_21_length_125267_cov_15.263681_34	K24697
NODE_5_length_270224_cov_14.756047_73	K24656
NODE_5_length_270224_cov_14.756047_96	K24655
NODE_20_length_134083_cov_15.432179_13	K24300
NODE_3_length_306466_cov_15.086084_223	K24290
NODE_6_length_241499_cov_14.686123_157	K24217
NODE_12_length_169171_cov_14.675599_15	K24217
NODE_58_length_17601_cov_15.073137_18	K24163
NODE_3_length_306466_cov_15.086084_233	K24158
NODE_5_length_270224_cov_14.756047_134	K24138
NODE_9_length_184078_cov_14.554794_61	K24116
NODE_9_length_184078_cov_14.554794_63	K24116
NODE_11_length_174094_cov_16.181546_127	K24012
NODE_14_length_154169_cov_15.539522_32	K24012
NODE_17_length_147460_cov_14.527709_53	K23997
NODE_4_length_279979_cov_15.072070_4	K23977
NODE_2_length_310327_cov_15.040480_72	K23775
NODE_2_length_310327_cov_15.040480_276	K23376
NODE_30_length_92583_cov_14.901034_38	K23359
NODE_7_length_227087_cov_15.662125_237	K23269
NODE_7_length_227087_cov_15.662125_236	K23265
NODE_7_length_227087_cov_15.662125_234	K23264
NODE_15_length_153375_cov_15.028157_37	K23256
NODE_38_length_70687_cov_15.037500_22	K23164
NODE_6_length_241499_cov_14.686123_91	K23163
NODE_50_length_33531_cov_13.565471_10	K23138
NODE_30_length_92583_cov_14.901034_83	K23124
NODE_30_length_92583_cov_14.901034_84	K23123
NODE_2_length_310327_cov_15.040480_93	K23107
NODE_21_length_125267_cov_15.263681_23	K22923
NODE_34_length_81483_cov_15.360059_48	K22900
NODE_2_length_310327_cov_15.040480_54	K22818
NODE_29_length_93441_cov_15.090619_67	K22737
NODE_16_length_147595_cov_15.526419_128	K22736
NODE_28_length_94401_cov_15.028746_58	K22736
NODE_16_length_147595_cov_15.526419_4	K22719
NODE_22_length_120613_cov_15.351228_86	K22617
NODE_4_length_279979_cov_15.072070_174	K22540
NODE_4_length_279979_cov_15.072070_175	K22522
NODE_37_length_72040_cov_14.537580_5	K22474
NODE_8_length_217158_cov_14.654045_175	K22468
NODE_2_length_310327_cov_15.040480_88	K22368
NODE_20_length_134083_cov_15.432179_36	K22310
NODE_30_length_92583_cov_14.901034_10	K22303
NODE_25_length_107545_cov_15.299885_97	K22293
NODE_16_length_147595_cov_15.526419_10	K22278
NODE_25_length_107545_cov_15.299885_94	K22278
NODE_14_length_154169_cov_15.539522_120	K22270
NODE_10_length_177970_cov_16.619580_76	K22209
NODE_12_length_169171_cov_14.675599_67	K22186
NODE_5_length_270224_cov_14.756047_63	K22185
NODE_31_length_89275_cov_14.498901_59	K22130
NODE_4_length_279979_cov_15.072070_31	K22108
NODE_16_length_147595_cov_15.526419_117	K22108
NODE_19_length_138999_cov_14.097017_101	K22086
NODE_19_length_138999_cov_14.097017_102	K22085
NODE_19_length_138999_cov_14.097017_103	K22084
NODE_34_length_81483_cov_15.360059_14	K22074
NODE_12_length_169171_cov_14.675599_42	K22066
NODE_4_length_279979_cov_15.072070_101	K22044
NODE_38_length_70687_cov_15.037500_17	K22025
NODE_4_length_279979_cov_15.072070_123	K22024
NODE_31_length_89275_cov_14.498901_60	K21948
NODE_4_length_279979_cov_15.072070_202	K21929
NODE_8_length_217158_cov_14.654045_100	K21929
NODE_40_length_67826_cov_15.440066_51	K21929
NODE_5_length_270224_cov_14.756047_202	K21919
NODE_4_length_279979_cov_15.072070_193	K21903
NODE_1_length_319143_cov_14.787312_23	K21893
NODE_19_length_138999_cov_14.097017_52	K21883
NODE_2_length_310327_cov_15.040480_84	K21862
NODE_2_length_310327_cov_15.040480_96	K21833
NODE_20_length_134083_cov_15.432179_61	K21760
NODE_12_length_169171_cov_14.675599_145	K21721
NODE_12_length_169171_cov_14.675599_51	K21700
NODE_58_length_17601_cov_15.073137_11	K21613
NODE_21_length_125267_cov_15.263681_98	K21470
NODE_2_length_310327_cov_15.040480_18	K21430
NODE_1_length_319143_cov_14.787312_264	K21420
NODE_3_length_306466_cov_15.086084_82	K21417
NODE_3_length_306466_cov_15.086084_83	K21416
NODE_6_length_241499_cov_14.686123_109	K21395
NODE_10_length_177970_cov_16.619580_88	K21395
NODE_38_length_70687_cov_15.037500_36	K21395
NODE_25_length_107545_cov_15.299885_100	K21393
NODE_15_length_153375_cov_15.028157_57	K21309
NODE_15_length_153375_cov_15.028157_56	K21308
NODE_15_length_153375_cov_15.028157_55	K21307
NODE_3_length_306466_cov_15.086084_142	K21231
NODE_20_length_134083_cov_15.432179_96	K21138
NODE_7_length_227087_cov_15.662125_135	K21137
NODE_23_length_117044_cov_16.890880_79	K21029
NODE_3_length_306466_cov_15.086084_73	K21001
NODE_32_length_86311_cov_14.776014_62	K20997
NODE_35_length_75451_cov_17.892929_32	K20975
NODE_33_length_85796_cov_14.378690_55	K20974
NODE_2_length_310327_cov_15.040480_190	K20938
NODE_5_length_270224_cov_14.756047_75	K20802
NODE_6_length_241499_cov_14.686123_154	K20715
NODE_33_length_85796_cov_14.378690_66	K20543
NODE_10_length_177970_cov_16.619580_187	K20542
NODE_20_length_134083_cov_15.432179_52	K20542
NODE_32_length_86311_cov_14.776014_78	K20542
NODE_43_length_60437_cov_14.044056_41	K20542
NODE_33_length_85796_cov_14.378690_67	K20541
NODE_44_length_55864_cov_14.241348_44	K20534
NODE_12_length_169171_cov_14.675599_21	K20523
NODE_37_length_72040_cov_14.537580_56	K20498
NODE_2_length_310327_cov_15.040480_92	K20455
NODE_5_length_270224_cov_14.756047_140	K20449
NODE_37_length_72040_cov_14.537580_46	K20344
NODE_3_length_306466_cov_15.086084_115	K20276
NODE_44_length_55864_cov_14.241348_25	K20074
NODE_44_length_55864_cov_14.241348_27	K20036
NODE_10_length_177970_cov_16.619580_96	K20035
NODE_5_length_270224_cov_14.756047_62	K20034
NODE_5_length_270224_cov_14.756047_106	K20034
NODE_20_length_134083_cov_15.432179_62	K19784
NODE_4_length_279979_cov_15.072070_78	K19746
NODE_55_length_25122_cov_14.783437_11	K19709
NODE_4_length_279979_cov_15.072070_55	K19689
NODE_42_length_64206_cov_14.657704_16	K19686
