TRINITY_DN5444_c0_g2_i1.p1	K00006
TRINITY_DN190_c1_g1_i6.p3	K00012
TRINITY_DN190_c1_g1_i7.p6	K00012
TRINITY_DN879_c0_g1_i11.p27	K00012
TRINITY_DN879_c0_g1_i23.p2	K00012
TRINITY_DN879_c0_g1_i23.p3	K00012
TRINITY_DN879_c0_g1_i57.p27	K00012
TRINITY_DN13110_c0_g1_i1.p4	K00013
TRINITY_DN3503_c0_g4_i1.p6	K00025
TRINITY_DN1232_c0_g1_i2.p2	K00026
TRINITY_DN19_c0_g3_i1.p1	K00030
TRINITY_DN327_c2_g1_i9.p8	K00030
TRINITY_DN913_c2_g1_i1.p7	K00031
TRINITY_DN913_c2_g1_i2.p5	K00031
TRINITY_DN149_c1_g2_i3.p1	K00033
TRINITY_DN31_c2_g1_i17.p3	K00051
TRINITY_DN311_c7_g2_i1.p1	K00052
TRINITY_DN51_c6_g2_i3.p2	K00053
TRINITY_DN13_c1_g4_i2.p6	K00058
TRINITY_DN2063_c0_g1_i14.p16	K00058
TRINITY_DN2063_c0_g1_i5.p18	K00058
TRINITY_DN1026_c0_g2_i3.p10	K00059
TRINITY_DN35_c0_g2_i1.p16	K00059
TRINITY_DN400_c1_g1_i1.p7	K00059
TRINITY_DN637_c3_g1_i1.p14	K00059
TRINITY_DN92_c0_g1_i1.p18	K00059
TRINITY_DN92_c0_g1_i2.p21	K00059
TRINITY_DN92_c0_g1_i3.p19	K00059
TRINITY_DN21438_c0_g1_i5.p1	K00088
TRINITY_DN21438_c0_g1_i7.p1	K00088
TRINITY_DN324_c0_g1_i1.p6	K00099
TRINITY_DN385_c0_g1_i1.p14	K00099
TRINITY_DN385_c0_g1_i2.p13	K00099
TRINITY_DN7056_c0_g4_i1.p3	K00102
TRINITY_DN2276_c0_g1_i1.p2	K00106
TRINITY_DN2276_c0_g1_i5.p2	K00106
TRINITY_DN2276_c0_g1_i6.p2	K00106
TRINITY_DN509_c2_g2_i1.p1	K00106
TRINITY_DN229_c0_g5_i1.p1	K00111
TRINITY_DN7835_c0_g1_i1.p1	K00111
TRINITY_DN195_c0_g2_i1.p10	K00121
TRINITY_DN195_c0_g2_i2.p10	K00121
TRINITY_DN3546_c0_g4_i1.p3	K00121
TRINITY_DN1769_c0_g1_i13.p6	K00128
TRINITY_DN2327_c0_g3_i1.p2	K00128
TRINITY_DN2458_c0_g1_i15.p2	K00128
TRINITY_DN2458_c0_g1_i6.p2	K00128
TRINITY_DN139_c4_g5_i1.p4	K00130
TRINITY_DN2458_c0_g1_i3.p9	K00130
TRINITY_DN1983_c2_g1_i3.p17	K00131
TRINITY_DN69340_c0_g1_i1.p14	K00133
TRINITY_DN69340_c0_g1_i2.p10	K00133
TRINITY_DN1285_c1_g1_i2.p1	K00134
TRINITY_DN1747_c1_g6_i1.p13	K00134
TRINITY_DN930_c3_g1_i10.p2	K00134
TRINITY_DN930_c3_g1_i11.p1	K00134
TRINITY_DN930_c3_g1_i3.p1	K00134
TRINITY_DN930_c3_g1_i5.p1	K00134
TRINITY_DN1688_c0_g2_i1.p4	K00140
TRINITY_DN1688_c0_g8_i1.p3	K00140
TRINITY_DN1688_c0_g8_i3.p4	K00140
TRINITY_DN29_c1_g6_i1.p4	K00145
TRINITY_DN896_c0_g1_i2.p9	K00145
TRINITY_DN896_c0_g1_i3.p23	K00145
TRINITY_DN896_c0_g1_i5.p27	K00145
TRINITY_DN896_c0_g1_i6.p11	K00145
TRINITY_DN1688_c0_g3_i3.p15	K00161
TRINITY_DN41694_c0_g1_i1.p2	K00161
TRINITY_DN682_c5_g1_i7.p3	K00161
TRINITY_DN1688_c0_g3_i3.p8	K00162
TRINITY_DN1688_c0_g3_i3.p7	K00162
TRINITY_DN5041_c0_g1_i3.p4	K00162
TRINITY_DN5041_c0_g1_i4.p4	K00162
TRINITY_DN5041_c0_g1_i7.p4	K00162
TRINITY_DN72466_c0_g1_i2.p1	K00162
TRINITY_DN72466_c0_g1_i3.p1	K00162
TRINITY_DN245_c5_g1_i1.p2	K00164
TRINITY_DN354_c1_g2_i1.p2	K00164
TRINITY_DN354_c1_g2_i2.p2	K00164
TRINITY_DN354_c1_g2_i4.p2	K00164
TRINITY_DN354_c1_g2_i5.p2	K00164
TRINITY_DN10919_c0_g1_i1.p9	K00167
TRINITY_DN1769_c0_g1_i13.p20	K00208
